Country Name,Country Code,Indicator Name,Emission Rate,,,
Aruba,ABW,CO2 emissions (metric tons per capita),,,,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),0.795419908400246,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),0.223478872007068,,,
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),0.463150273298324,,,
Angola,AGO,CO2 emissions (metric tons per capita),0.592742967779037,,,
Albania,ALB,CO2 emissions (metric tons per capita),1.54455011524574,,,
Andorra,AND,CO2 emissions (metric tons per capita),5.77714799227799,,,
Arab World,ARB,CO2 emissions (metric tons per capita),3.92907774447049,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),20.2522716801426,,,
Argentina,ARG,CO2 emissions (metric tons per capita),3.4056175404138,,,
Armenia,ARM,CO2 emissions (metric tons per capita),2.40468376195106,,,
American Samoa,ASM,CO2 emissions (metric tons per capita),,,,
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),5.12173012173012,,,
Australia,AUS,CO2 emissions (metric tons per capita),14.7726575989848,,,
Austria,AUT,CO2 emissions (metric tons per capita),6.63264573733546,,,
Azerbaijan,AZE,CO2 emissions (metric tons per capita),3.39884957289227,,,
Burundi,BDI,CO2 emissions (metric tons per capita),0.0583840218352736,,,
Belgium,BEL,CO2 emissions (metric tons per capita),7.39813065774681,,,
Benin,BEN,CO2 emissions (metric tons per capita),0.631204805964476,,,
Burkina Faso,BFA,CO2 emissions (metric tons per capita),0.253533188747507,,,
Bangladesh,BGD,CO2 emissions (metric tons per capita),0.510647559277094,,,
Bulgaria,BGR,CO2 emissions (metric tons per capita),4.92328037940501,,,
Bahrain,BHR,CO2 emissions (metric tons per capita),21.9769078065259,,,
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),6.04225147673512,,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),6.31230587447531,,,
Belarus,BLR,CO2 emissions (metric tons per capita),5.84240729590088,,,
Belize,BLZ,CO2 emissions (metric tons per capita),1.74110771521393,,,
Bermuda,BMU,CO2 emissions (metric tons per capita),,,,
Bolivia,BOL,CO2 emissions (metric tons per capita),1.53946469560316,,,
Brazil,BRA,CO2 emissions (metric tons per capita),1.94252335631484,,,
Barbados,BRB,CO2 emissions (metric tons per capita),3.90487115816925,,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),21.7058124398664,,,
Bhutan,BTN,CO2 emissions (metric tons per capita),1.34005431673023,,,
Botswana,BWA,CO2 emissions (metric tons per capita),2.2634631138367,,,
Central African Republic,CAF,CO2 emissions (metric tons per capita),0.044282072685485,,,
Canada,CAN,CO2 emissions (metric tons per capita),13.5993749178773,,,
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),5.85720584954467,,,
Switzerland,CHE,CO2 emissions (metric tons per capita),4.04207281475341,,,
Channel Islands,CHI,CO2 emissions (metric tons per capita),,,,
Chile,CHL,CO2 emissions (metric tons per capita),4.39515106359663,,,
China,CHN,CO2 emissions (metric tons per capita),7.75613790659769,,,
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),0.406347356890383,,,
Cameroon,CMR,CO2 emissions (metric tons per capita),0.37478265803136,,,
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),0.0325847808481787,,,
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),1.25459166977367,,,
Colombia,COL,CO2 emissions (metric tons per capita),1.55225942282078,,,
Comoros,COM,CO2 emissions (metric tons per capita),0.407112182850678,,,
Cabo Verde,CPV,CO2 emissions (metric tons per capita),1.06515172319099,,,
Costa Rica,CRI,CO2 emissions (metric tons per capita),1.35999554957394,,,
Caribbean small states,CSS,CO2 emissions (metric tons per capita),4.40268790108705,,,
Cuba,CUB,CO2 emissions (metric tons per capita),2.15276967847473,,,
Curacao,CUW,CO2 emissions (metric tons per capita),,,,
Cayman Islands,CYM,CO2 emissions (metric tons per capita),,,,
Cyprus,CYP,CO2 emissions (metric tons per capita),5.47199800894842,,,
Czechia,CZE,CO2 emissions (metric tons per capita),8.30401749583889,,,
Germany,DEU,CO2 emissions (metric tons per capita),7.2552210281684,,,
Djibouti,DJI,CO2 emissions (metric tons per capita),0.392329171237878,,,
Dominica,DMA,CO2 emissions (metric tons per capita),2.26126814362109,,,
Denmark,DNK,CO2 emissions (metric tons per capita),4.69123730751634,,,
Dominican Republic,DOM,CO2 emissions (metric tons per capita),2.08018172191441,,,
Algeria,DZA,CO2 emissions (metric tons per capita),3.7182233703076,,,
East Asia & Pacific (excluding high income),EAP,CO2 emissions (metric tons per capita),5.98224612531264,,,
Early-demographic dividend,EAR,CO2 emissions (metric tons per capita),2.01640816348961,,,
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),6.22186886326224,,,
Europe & Central Asia (excluding high income),ECA,CO2 emissions (metric tons per capita),7.06245426110502,,,
Europe & Central Asia,ECS,CO2 emissions (metric tons per capita),6.11174039963572,,,
Ecuador,ECU,CO2 emissions (metric tons per capita),1.95757534925331,,,
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),1.96112257208929,,,
Euro area,EMU,CO2 emissions (metric tons per capita),5.46154003695282,,,
Eritrea,ERI,CO2 emissions (metric tons per capita),0.198657542968412,,,
Spain,ESP,CO2 emissions (metric tons per capita),4.2795945712141,,,
Estonia,EST,CO2 emissions (metric tons per capita),5.33839981587368,,,
Ethiopia,ETH,CO2 emissions (metric tons per capita),0.154431771590205,,,
European Union,EUU,CO2 emissions (metric tons per capita),5.50607043589747,,,
Fragile and conflict affected situations,FCS,CO2 emissions (metric tons per capita),0.775010831158316,,,
Finland,FIN,CO2 emissions (metric tons per capita),6.57014512772575,,,
Fiji,FJI,CO2 emissions (metric tons per capita),1.11709628844161,,,
France,FRA,CO2 emissions (metric tons per capita),3.95368245187991,,,
Faroe Islands,FRO,CO2 emissions (metric tons per capita),,,,
"Micronesia, Fed. Sts.",FSM,CO2 emissions (metric tons per capita),0.958913885073056,,,
Gabon,GAB,CO2 emissions (metric tons per capita),2.33327357514897,,,
United Kingdom,GBR,CO2 emissions (metric tons per capita),4.60114225090135,,,
Georgia,GEO,CO2 emissions (metric tons per capita),2.75470919618902,,,
Ghana,GHA,CO2 emissions (metric tons per capita),0.602887453142675,,,
Gibraltar,GIB,CO2 emissions (metric tons per capita),,,,
Guinea,GIN,CO2 emissions (metric tons per capita),0.34364615086247,,,
"Gambia, The",GMB,CO2 emissions (metric tons per capita),0.237529598930845,,,
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),0.163208368967987,,,
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),2.72573085162172,,,
Greece,GRC,CO2 emissions (metric tons per capita),4.76718493701839,,,
Grenada,GRD,CO2 emissions (metric tons per capita),2.62406702085507,,,
Greenland,GRL,CO2 emissions (metric tons per capita),,,,
Guatemala,GTM,CO2 emissions (metric tons per capita),1.00040733564819,,,
Guam,GUM,CO2 emissions (metric tons per capita),,,,
Guyana,GUY,CO2 emissions (metric tons per capita),3.47277101663067,,,
High income,HIC,CO2 emissions (metric tons per capita),8.7499128183433,,,
"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),,,,
Honduras,HND,CO2 emissions (metric tons per capita),0.872911171700029,,,
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (metric tons per capita),0.268471052988447,,,
Croatia,HRV,CO2 emissions (metric tons per capita),3.86070539173057,,,
Haiti,HTI,CO2 emissions (metric tons per capita),0.283815024249564,,,
Hungary,HUN,CO2 emissions (metric tons per capita),4.59165290704788,,,
IBRD only,IBD,CO2 emissions (metric tons per capita),4.30429159638125,,,
IDA & IBRD total,IBT,CO2 emissions (metric tons per capita),3.29854387858719,,,
IDA total,IDA,CO2 emissions (metric tons per capita),0.517184006949399,,,
IDA blend,IDB,CO2 emissions (metric tons per capita),0.798612684357823,,,
Indonesia,IDN,CO2 emissions (metric tons per capita),2.07165896221472,,,
IDA only,IDX,CO2 emissions (metric tons per capita),0.377941163632789,,,
Isle of Man,IMN,CO2 emissions (metric tons per capita),,,,
India,IND,CO2 emissions (metric tons per capita),1.57609323191648,,,
Not classified,INX,CO2 emissions (metric tons per capita),,,,
Ireland,IRL,CO2 emissions (metric tons per capita),6.76822759018266,,,
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),7.06335132057733,,,
Iraq,IRQ,CO2 emissions (metric tons per capita),3.84217781974399,,,
Iceland,ISL,CO2 emissions (metric tons per capita),3.94746536485266,,,
Israel,ISR,CO2 emissions (metric tons per capita),6.34521600416707,,,
Italy,ITA,CO2 emissions (metric tons per capita),4.73237277079935,,,
Jamaica,JAM,CO2 emissions (metric tons per capita),2.06904180772051,,,
Jordan,JOR,CO2 emissions (metric tons per capita),1.9191724264898,,,
Japan,JPN,CO2 emissions (metric tons per capita),8.0314958696668,,,
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),11.2977433059429,,,
Kenya,KEN,CO2 emissions (metric tons per capita),0.374079219355755,,,
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),1.37997537956504,,,
Cambodia,KHM,CO2 emissions (metric tons per capita),1.13758365931038,,,
Kiribati,KIR,CO2 emissions (metric tons per capita),0.449933972782553,,,
St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),4.84866294446077,,,
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),10.9900295814285,,,
Kuwait,KWT,CO2 emissions (metric tons per capita),21.1696102506992,,,
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (metric tons per capita),2.11254497614329,,,
Lao PDR,LAO,CO2 emissions (metric tons per capita),2.6202834413044,,,
Lebanon,LBN,CO2 emissions (metric tons per capita),3.79219353680069,,,
Liberia,LBR,CO2 emissions (metric tons per capita),0.231838923937177,,,
Libya,LBY,CO2 emissions (metric tons per capita),6.68280547080212,,,
St. Lucia,LCA,CO2 emissions (metric tons per capita),2.78513922906543,,,
Latin America & Caribbean,LCN,CO2 emissions (metric tons per capita),2.21061135980164,,,
Least developed countries: UN classification,LDC,CO2 emissions (metric tons per capita),0.327108375841548,,,
Low income,LIC,CO2 emissions (metric tons per capita),0.269341050173669,,,
Liechtenstein,LIE,CO2 emissions (metric tons per capita),3.66384799772938,,,
Sri Lanka,LKA,CO2 emissions (metric tons per capita),0.99668324284867,,,
Lower middle income,LMC,CO2 emissions (metric tons per capita),1.54611702210388,,,
Low & middle income,LMY,CO2 emissions (metric tons per capita),3.26424700057325,,,
Lesotho,LSO,CO2 emissions (metric tons per capita),1.02564216316934,,,
Late-demographic dividend,LTE,CO2 emissions (metric tons per capita),6.68385121564308,,,
Lithuania,LTU,CO2 emissions (metric tons per capita),4.18400041504391,,,
Luxembourg,LUX,CO2 emissions (metric tons per capita),12.4569532326913,,,
Latvia,LVA,CO2 emissions (metric tons per capita),3.64561216849281,,,
"Macao SAR, China",MAC,CO2 emissions (metric tons per capita),,,,
St. Martin (French part),MAF,CO2 emissions (metric tons per capita),,,,
Morocco,MAR,CO2 emissions (metric tons per capita),1.81852638730999,,,
Monaco,MCO,CO2 emissions (metric tons per capita),,,,
Moldova,MDA,CO2 emissions (metric tons per capita),3.26784636811087,,,
Madagascar,MDG,CO2 emissions (metric tons per capita),0.0972695405949093,,,
Maldives,MDV,CO2 emissions (metric tons per capita),2.82638529813116,,,
Middle East & North Africa,MEA,CO2 emissions (metric tons per capita),5.03381829765426,,,
Mexico,MEX,CO2 emissions (metric tons per capita),3.04076637477226,,,
Marshall Islands,MHL,CO2 emissions (metric tons per capita),2.53380323866123,,,
Middle income,MIC,CO2 emissions (metric tons per capita),3.6037893413802,,,
North Macedonia,MKD,CO2 emissions (metric tons per capita),3.27942018720106,,,
Mali,MLI,CO2 emissions (metric tons per capita),0.195565971417317,,,
Malta,MLT,CO2 emissions (metric tons per capita),3.12555789277592,,,
Myanmar,MMR,CO2 emissions (metric tons per capita),0.634080348390974,,,
Middle East & North Africa (excluding high income),MNA,CO2 emissions (metric tons per capita),3.32905608702325,,,
Montenegro,MNE,CO2 emissions (metric tons per capita),4.06756091201437,,,
Mongolia,MNG,CO2 emissions (metric tons per capita),6.43064533509798,,,
Northern Mariana Islands,MNP,CO2 emissions (metric tons per capita),,,,
Mozambique,MOZ,CO2 emissions (metric tons per capita),0.222767552715213,,,
Mauritania,MRT,CO2 emissions (metric tons per capita),0.855176405836122,,,
Mauritius,MUS,CO2 emissions (metric tons per capita),2.93851410805884,,,
Malawi,MWI,CO2 emissions (metric tons per capita),0.0846361581872504,,,
Malaysia,MYS,CO2 emissions (metric tons per capita),7.38371541222915,,,
North America,NAC,CO2 emissions (metric tons per capita),13.0888374603574,,,
Namibia,NAM,CO2 emissions (metric tons per capita),1.58804514727825,,,
New Caledonia,NCL,CO2 emissions (metric tons per capita),,,,
Niger,NER,CO2 emissions (metric tons per capita),0.0903255776910309,,,
Nigeria,NGA,CO2 emissions (metric tons per capita),0.537510175389551,,,
Nicaragua,NIC,CO2 emissions (metric tons per capita),0.678252104273379,,,
Netherlands,NLD,CO2 emissions (metric tons per capita),7.4715534787719,,,
Norway,NOR,CO2 emissions (metric tons per capita),6.7250800496331,,,
Nepal,NPL,CO2 emissions (metric tons per capita),0.509366247354604,,,
Nauru,NRU,CO2 emissions (metric tons per capita),3.36175395858709,,,
New Zealand,NZL,CO2 emissions (metric tons per capita),6.16079918274331,,,
OECD members,OED,CO2 emissions (metric tons per capita),7.71464368626857,,,
Oman,OMN,CO2 emissions (metric tons per capita),15.6362010028175,,,
Other small states,OSS,CO2 emissions (metric tons per capita),5.61056186341668,,,
Pakistan,PAK,CO2 emissions (metric tons per capita),0.81036021551031,,,
Panama,PAN,CO2 emissions (metric tons per capita),2.23144302481653,,,
Peru,PER,CO2 emissions (metric tons per capita),1.39856601861908,,,
Philippines,PHL,CO2 emissions (metric tons per capita),1.18967945167284,,,
Palau,PLW,CO2 emissions (metric tons per capita),8.80258179390162,,,
Papua New Guinea,PNG,CO2 emissions (metric tons per capita),0.563251566211675,,,
Poland,POL,CO2 emissions (metric tons per capita),7.36756337292709,,,
Pre-demographic dividend,PRE,CO2 emissions (metric tons per capita),0.477024614654774,,,
Puerto Rico,PRI,CO2 emissions (metric tons per capita),,,,
"Korea, Dem. People's Rep.",PRK,CO2 emissions (metric tons per capita),2.02714861876503,,,
Portugal,PRT,CO2 emissions (metric tons per capita),3.78490758691711,,,
Paraguay,PRY,CO2 emissions (metric tons per capita),1.14459119207034,,,
West Bank and Gaza,PSE,CO2 emissions (metric tons per capita),,,,
Pacific island small states,PSS,CO2 emissions (metric tons per capita),0.848521068295038,,,
Post-demographic dividend,PST,CO2 emissions (metric tons per capita),8.55165935550203,,,
French Polynesia,PYF,CO2 emissions (metric tons per capita),,,,
Qatar,QAT,CO2 emissions (metric tons per capita),31.7268424513247,,,
Romania,ROU,CO2 emissions (metric tons per capita),3.56413750145988,,,
Russian Federation,RUS,CO2 emissions (metric tons per capita),11.2322880672434,,,
Rwanda,RWA,CO2 emissions (metric tons per capita),0.105124140047262,,,
South Asia,SAS,CO2 emissions (metric tons per capita),1.33779148421422,,,
Saudi Arabia,SAU,CO2 emissions (metric tons per capita),14.2665853675408,,,
Sudan,SDN,CO2 emissions (metric tons per capita),0.467953928316626,,,
Senegal,SEN,CO2 emissions (metric tons per capita),0.649800561203009,,,
Singapore,SGP,CO2 emissions (metric tons per capita),7.68668370206727,,,
Solomon Islands,SLB,CO2 emissions (metric tons per capita),0.323065549175264,,,
Sierra Leone,SLE,CO2 emissions (metric tons per capita),0.127277607278142,,,
El Salvador,SLV,CO2 emissions (metric tons per capita),1.01328024350636,,,
San Marino,SMR,CO2 emissions (metric tons per capita),,,,
Somalia,SOM,CO2 emissions (metric tons per capita),0.0399346532651356,,,
Serbia,SRB,CO2 emissions (metric tons per capita),6.71451717217514,,,
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (metric tons per capita),0.660412632875853,,,
South Sudan,SSD,CO2 emissions (metric tons per capita),0.16430913651009,,,
Sub-Saharan Africa,SSF,CO2 emissions (metric tons per capita),0.660876172775718,,,
Small states,SST,CO2 emissions (metric tons per capita),5.11011101795905,,,
Sao Tome and Principe,STP,CO2 emissions (metric tons per capita),0.645350140184137,,,
Suriname,SUR,CO2 emissions (metric tons per capita),4.28507655687612,,,
Slovak Republic,SVK,CO2 emissions (metric tons per capita),5.31905480792852,,,
Slovenia,SVN,CO2 emissions (metric tons per capita),5.93473517885826,,,
Sweden,SWE,CO2 emissions (metric tons per capita),3.24298914312747,,,
Eswatini,SWZ,CO2 emissions (metric tons per capita),0.972087527685903,,,
Sint Maarten (Dutch part),SXM,CO2 emissions (metric tons per capita),,,,
Seychelles,SYC,CO2 emissions (metric tons per capita),6.08051837257013,,,
Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),1.21480248375323,,,
Turks and Caicos Islands,TCA,CO2 emissions (metric tons per capita),,,,
Chad,TCD,CO2 emissions (metric tons per capita),0.0942281870969025,,,
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (metric tons per capita),6.03116979498631,,,
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (metric tons per capita),6.91356094749506,,,
Togo,TGO,CO2 emissions (metric tons per capita),0.286061843654428,,,
Thailand,THA,CO2 emissions (metric tons per capita),3.71425580600412,,,
Tajikistan,TJK,CO2 emissions (metric tons per capita),0.977533024275801,,,
Turkmenistan,TKM,CO2 emissions (metric tons per capita),10.1840862992321,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (metric tons per capita),2.22190600706842,,,
Timor-Leste,TLS,CO2 emissions (metric tons per capita),0.343155165981408,,,
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (metric tons per capita),3.36834375922243,,,
Tonga,TON,CO2 emissions (metric tons per capita),1.12204761814278,,,
South Asia (IDA & IBRD),TSA,CO2 emissions (metric tons per capita),1.33779148421422,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (metric tons per capita),0.660876172775718,,,
Trinidad and Tobago,TTO,CO2 emissions (metric tons per capita),10.1571191722541,,,
Tunisia,TUN,CO2 emissions (metric tons per capita),2.4086225282388,,,
Turkiye,TUR,CO2 emissions (metric tons per capita),4.84226692232433,,,
Tuvalu,TUV,CO2 emissions (metric tons per capita),0.596259824735748,,,
Tanzania,TZA,CO2 emissions (metric tons per capita),0.233945592120175,,,
Uganda,UGA,CO2 emissions (metric tons per capita),0.127793034826946,,,
Ukraine,UKR,CO2 emissions (metric tons per capita),3.75381618922792,,,
Upper middle income,UMC,CO2 emissions (metric tons per capita),5.92235226433117,,,
Uruguay,URY,CO2 emissions (metric tons per capita),1.89971905049917,,,
United States,USA,CO2 emissions (metric tons per capita),13.0328279519898,,,
Uzbekistan,UZB,CO2 emissions (metric tons per capita),3.37630378548758,,,
St. Vincent and the Grenadines,VCT,CO2 emissions (metric tons per capita),2.100695771848,,,
"Venezuela, RB",VEN,CO2 emissions (metric tons per capita),2.54502797831961,,,
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),,,,
Virgin Islands (U.S.),VIR,CO2 emissions (metric tons per capita),,,,
Vietnam,VNM,CO2 emissions (metric tons per capita),3.67644008813984,,,
Vanuatu,VUT,CO2 emissions (metric tons per capita),0.389174968317372,,,
World,WLD,CO2 emissions (metric tons per capita),4.29185309581619,,,
Samoa,WSM,CO2 emissions (metric tons per capita),0.960782397908146,,,
Kosovo,XKX,CO2 emissions (metric tons per capita),,,,
"Yemen, Rep.",YEM,CO2 emissions (metric tons per capita),0.308514614308256,,,
South Africa,ZAF,CO2 emissions (metric tons per capita),6.68756314737781,,,
Zambia,ZMB,CO2 emissions (metric tons per capita),0.40190271250386,,,
Zimbabwe,ZWE,CO2 emissions (metric tons per capita),0.530483547000938,,,
